mne1,nsexe,nag,ntravail,ntpp,ndiplo,idmen,obs,same_sexe,hh_twin_after
2,2,43,2,,4,1018790,2,1,0
2,1,33,1,,4,1018860,1,1,0
2,2,32,1,1,4,1018860,2,1,0
3,1,44,1,2,9,1019070,1,1,0
3,2,41,2,,9,1019070,2,1,0
2,1,42,1,2,4,1019190,1,0,0
2,2,39,1,2,8,1019190,2,0,0
2,2,35,2,,8,1019200,1,0,0
2,1,35,1,2,3,1019200,2,0,0
3,1,45,1,2,1,1019250,1,1,0
3,2,44,1,2,4,1019250,2,1,0
3,1,57,1,2,6,1019400,1,0,0
3,2,49,1,2,9,1019400,2,0,0
2,2,47,1,2,9,1019460,1,1,0
2,1,45,1,2,9,1019460,2,1,0
2,2,49,1,1,4,1019480,1,0,0
2,1,44,1,1,8,1019480,2,0,0
2,1,50,1,,5,1019520,1,0,0
2,2,47,1,2,8,1019520,2,0,0
3,1,46,1,2,1,1019530,1,1,0
3,2,38,2,,1,1019530,2,1,0
2,1,33,1,1,1,1019540,1,0,0
2,2,27,1,1,4,1019540,2,0,0
2,1,42,1,2,9,1019550,1,0,0
2,2,39,1,2,9,1019550,2,0,0
2,2,50,2,,6,1019590,1,0,0
2,1,44,1,2,4,1019590,2,0,0
5,1,53,2,,1,1019640,1,1,0
5,2,44,2,,1,1019640,2,1,0
0,1,58,2,,4,1019670,1,0,0
0,2,52,1,1,5,1019670,2,0,0
1,2,46,2,,1,1019690,1,0,0
1,1,44,1,,4,1019690,2,0,0
2,1,45,1,2,4,1019740,1,1,0
2,2,44,1,2,7,1019740,2,1,0
2,1,41,1,,4,1019780,1,0,0
2,2,38,1,,8,1019780,2,0,0
1,1,48,1,2,3,1019800,1,0,0
1,2,46,1,,1,1019800,2,0,0
3,1,45,1,,6,1019880,1,1,0
3,2,43,1,,8,1019880,2,1,0
3,1,42,1,2,4,1019970,1,1,0
3,2,42,2,,1,1019970,2,1,0
2,1,31,1,1,4,1020010,1,0,0
2,2,28,1,1,9,1020010,2,0,0
2,1,30,1,,5,1020090,1,1,0
2,2,30,1,1,5,1020090,2,1,0
2,1,39,1,1,8,1020130,1,0,0
2,2,36,2,,4,1020130,2,0,0
2,1,43,1,2,9,1020320,1,0,0
2,2,40,1,2,9,1020320,2,0,0
3,1,48,1,2,4,1020360,1,1,1
3,2,43,1,2,4,1020360,2,1,1
3,1,53,1,2,1,1020490,1,0,0
3,2,39,2,,3,1020490,2,0,0
3,1,32,1,2,4,1020520,1,1,0
3,2,30,1,2,4,1020520,2,1,0
2,2,39,1,2,1,1020550,1,0,0
2,1,33,2,,5,1020550,2,0,0
2,1,37,2,,1,1020640,1,1,0
2,2,28,2,,1,1020640,2,1,0
3,1,41,1,2,4,1020650,1,0,0
3,2,39,2,,1,1020650,2,0,0
4,1,50,1,2,3,1020730,1,0,0
4,2,45,2,,1,1020730,2,0,0
2,1,48,1,2,8,1020760,1,0,0
2,2,44,1,2,8,1020760,2,0,0
3,2,40,2,,8,1020860,1,1,0
3,1,40,1,2,9,1020860,2,1,0
2,2,42,2,,4,1020880,1,1,0
2,1,41,1,2,4,1020880,2,1,0
3,2,36,2,,4,1020910,1,0,0
3,1,36,1,2,1,1020910,2,0,0
2,1,50,1,,4,1021000,1,0,0
2,2,35,1,2,7,1021000,2,0,0
2,1,37,1,2,5,1021110,1,0,0
2,2,35,1,2,8,1021110,2,0,0
